<Acq date>	TB00001K	TB00002K	TB00003K
13-01-2014_00:00:51.621	15.0	16.333333333333332	14.5
13-01-2014_00:02:59.621	15.0	16.333333333333332	14.5
13-01-2014_00:05:07.621	15.0	16.333333333333332	14.5
13-01-2014_00:07:15.620	15.0	16.333333333333332	14.5
13-01-2014_00:09:23.620	15.0	16.333333333333332	14.5
13-01-2014_00:11:31.620	15.0	16.333333333333332	14.5
13-01-2014_00:13:39.619	15.0	16.333333333333332	14.5
13-01-2014_00:15:47.619	15.0	16.333333333333332	14.5
13-01-2014_00:17:55.619	15.0	16.333333333333332	14.5
13-01-2014_00:20:03.619	15.0	16.333333333333332	14.5
13-01-2014_00:22:11.622	15.0	16.333333333333332	14.5
13-01-2014_00:24:19.618	15.0	16.333333333333332	14.5
13-01-2014_00:26:27.618	15.0	16.333333333333332	14.5
13-01-2014_00:28:35.617	15.0	16.333333333333332	14.5
13-01-2014_00:30:43.617	15.0	16.333333333333332	14.5
13-01-2014_00:32:51.617	15.0	16.333333333333332	14.5
13-01-2014_00:34:59.616	15.0	16.333333333333332	14.5
13-01-2014_00:37:07.616	15.0	16.333333333333332	14.5
13-01-2014_00:39:15.616	15.0	16.333333333333332	14.5
13-01-2014_00:41:23.616	15.0	16.333333333333332	14.5
13-01-2014_00:43:31.616	15.0	16.333333333333332	14.5
13-01-2014_00:45:39.615	15.0	16.333333333333332	14.5
13-01-2014_00:46:27.615	15.0	16.333333333333332	14.5
13-01-2014_00:46:59.615	15.0	16.333333333333332	14.5
13-01-2014_00:47:31.615	15.0	16.333333333333332	14.5
13-01-2014_00:47:47.615	15.0	16.333333333333332	14.5
13-01-2014_00:48:03.616	15.0	16.333333333333332	14.5
13-01-2014_00:48:35.615	15.0	16.333333333333332	14.5
13-01-2014_00:49:07.614	15.0	16.333333333333332	14.5
13-01-2014_00:49:39.614	15.0	16.333333333333332	14.5
13-01-2014_00:49:55.614	15.0	16.333333333333332	14.5
13-01-2014_00:50:11.616	15.0	16.333333333333332	14.5
13-01-2014_00:50:43.614	15.0	16.333333333333332	14.5
13-01-2014_00:51:15.614	15.0	16.333333333333332	14.5
13-01-2014_00:51:47.614	15.0	16.333333333333332	14.5
13-01-2014_00:52:03.614	15.0	16.333333333333332	14.5
13-01-2014_00:52:19.615	15.0	16.333333333333332	14.5
13-01-2014_00:52:51.614	15.0	16.333333333333332	14.5
13-01-2014_00:53:23.614	15.0	16.333333333333332	14.5
13-01-2014_00:53:55.614	15.0	16.333333333333332	14.5
13-01-2014_00:54:11.614	15.0	16.333333333333332	14.5
13-01-2014_00:54:27.615	15.0	16.333333333333332	14.5
13-01-2014_00:54:59.614	15.0	16.333333333333332	14.5
13-01-2014_00:55:31.614	15.0	16.333333333333332	14.5
13-01-2014_00:56:03.614	15.0	16.333333333333332	14.5
13-01-2014_00:56:19.614	15.0	16.333333333333332	14.5
13-01-2014_00:56:35.615	15.0	16.333333333333332	14.5
13-01-2014_00:57:07.613	15.0	16.333333333333332	14.5
13-01-2014_00:57:39.613	15.0	16.333333333333332	14.5
13-01-2014_00:58:11.613	15.0	16.333333333333332	14.5
13-01-2014_00:58:27.613	15.0	16.333333333333332	14.5
13-01-2014_00:58:43.615	15.0	16.333333333333332	14.5
13-01-2014_00:59:15.613	15.0	16.333333333333332	14.5
13-01-2014_00:59:47.613	15.0	16.333333333333332	14.5
